grupo
Acessibilidade
Acompanhamento
Água
Audiovisual / Projeção
Brindes
Café para integrações/Ações Similares
Camarim
Compras
Contratações diversas
Contrato Cooperativa
Contrato PF
Contrato PJ
Diversos - Alimentação
Diversos - Comunicação
Editoria web
Elétrica
Equipamentos
Exibição de Filmes
Hospedagem
Iluminação
Impressos e digitais
Kit Lanche
Limpeza
Locação - Iluminação
Locação - Outros
Locação - Sonorização
Mobiliário
Montagem
null
Outros
Outros - Internos
Outros - Terceiros
Passagem Aérea
Serviço de Receptivo
Serviços Gerais Terceirizados (Segurança / Bombeiro / Ajudante)
Sonorização
Tradução Simultânea
Transporte
Turismo
